Frakmt,Kommune
50-0 21/0346 Højre,Aabenrå
50-0 6/0221 Venstre,Aabenrå
50-0 20/0969 Venstre,Aabenrå
50-12 36/0886 Højre,Aabenrå
50-0 33/0006 Venstre,Aabenrå
50-4 22/0733 Venstre,Aabenrå
50-3 30/0231 Højre,Aabenrå
50-0 37/0619 Højre,Aabenrå
50-0 9/0290 Venstre,Aabenrå
50-0 14/0832 Venstre,Aabenrå
51-0 11/0073 Højre,Aabenrå
50-0 38/0403 Venstre,Aabenrå
50-0 39/0201 Venstre,Aabenrå
50-2 24/0338 Venstre,Aabenrå
50-0 21/0674 Højre,Aabenrå
50-0 19/0292 Højre,Aabenrå
50-0 11/0335 Venstre,Aabenrå
50-2 23/0589 Venstre,Aabenrå
51-0 8/0309 Højre,Aabenrå
50-0 33/0580 Højre,Aabenrå
51-0 7/0832 Højre,Aabenrå
51-0 13/0958 Højre,Aabenrå
50-0 34/0996 Højre,Aabenrå
50-0 31/0387 Venstre,Aabenrå
50-5 16/0100 Højre,Aabenrå
50-0 1/0812 Højre,Aabenrå
50-0 11/0275 Venstre,Aabenrå
50-11 25/0800 Højre,Aabenrå
50-0 7/0898 Højre,Aabenrå
50-0 13/0855 Højre,Aabenrå
51-0 8/0431 Højre,Aabenrå
50-6 16/0500 Venstre,Aabenrå
51-0 2/0988 Venstre,Aabenrå
51-0 4/0147 Venstre,Aabenrå
50-0 17/0441 Venstre,Aabenrå
50-0 29/0679 Venstre,Aabenrå
50-0 33/0341 Venstre,Aabenrå
50-0 26/0505 Venstre,Aabenrå
50-0 27/0416 Højre,Aabenrå
50-0 4/0242 Venstre,Aabenrå
50-0 8/0563 Højre,Aabenrå
51-0 2/0457 Højre,Aabenrå
50-0 28/0425 Højre,Aabenrå
51-5 6/0100 Højre,Aabenrå
51-0 3/0197 Venstre,Aabenrå
50-0 0/0540 Venstre,Aabenrå
50-3 16/0640 Højre,Aabenrå
50-0 8/0562 Venstre,Aabenrå
50-0 9/0517 Højre,Aabenrå
50-0 12/0735 Venstre,Aabenrå
51-0 12/0177 Højre,Aabenrå
50-0 2/0924 Venstre,Aabenrå
50-0 9/0494 Venstre,Aabenrå
50-0 10/0761 Venstre,Aabenrå
50-6 16/0331 Venstre,Aabenrå
50-0 31/0594 Venstre,Aabenrå
50-0 22/0159 Højre,Aabenrå
70-5 284/0622 Højre,Aalborg
70-0 284/0055 Venstre,Aalborg
90-0 2/0399 Venstre,Aalborg
90-0 9/0971 Højre,Aalborg
90-0 10/0054 Højre,Aalborg
70-0 293/0544 Venstre,Aalborg
90-0 15/0946 Venstre,Aalborg
80-0 302/0875 Højre,Aalborg
70-2 292/0517 Højre,Aalborg
70-0 277/0104 Venstre,Aalborg
70-0 274/0033 Venstre,Aalborg
70-5 278/0060 Højre,Aalborg
90-0 2/0416 Højre,Aalborg
70-0 295/0000 Højre,Aalborg
80-0 306/0850 Venstre,Aalborg
80-0 307/0904 Venstre,Aalborg
90-0 15/0773 Højre,Aalborg
70-0 275/0481 Venstre,Aalborg
90-0 9/0322 Højre,Aalborg
90-0 11/0500 Venstre,Aalborg
80-0 301/0140 Venstre,Aalborg
80-0 300/0181 Højre,Aalborg
90-0 3/0346 Højre,Aalborg
90-0 13/0048 Venstre,Aalborg
90-0 13/0156 Venstre,Aalborg
70-0 289/0354 Højre,Aalborg
70-0 284/0833 Højre,Aalborg
70-0 273/0453 Venstre,Aalborg
90-0 13/0475 Venstre,Aalborg
70-0 288/0157 Højre,Aalborg
90-6 7/0298 Venstre,Aalborg
90-0 5/0116 Højre,Aalborg
80-0 306/0683 Højre,Aalborg
90-0 6/0083 Venstre,Aalborg
90-0 6/0241 Højre,Aalborg
70-6 285/0911 Venstre,Aalborg
70-0 293/0943 Højre,Aalborg
80-0 305/0819 Højre,Aalborg
80-0 304/0376 Højre,Aalborg
90-0 14/0159 Venstre,Aalborg
90-0 5/0331 Venstre,Aalborg
12-0 14/0800 Venstre,Albertslund
4-0 4/0300 Venstre,Albertslund
12-6 13/0984 Venstre,Albertslund
4-0 4/0500 Venstre,Albertslund
4-3 5/0720 Højre,Albertslund
12-0 13/0095 Højre,Albertslund
12-4 13/0700 Venstre,Albertslund
12-5 13/0770 Højre,Albertslund
4-2 0/1468 Venstre,Albertslund
13-0 23/0940 Højre,Allerød
13-5 27/0570 Højre,Allerød
13-0 29/0600 Højre,Allerød
13-6 26/0940 Venstre,Allerød
13-6 26/0880 Venstre,Allerød
13-0 28/0420 Højre,Allerød
13-0 28/0840 Venstre,Allerød
13-0 23/0360 Venstre,Allerød
13-0 23/0380 Højre,Allerød
13-0 26/0320 Højre,Allerød
70-0 190/0184 Højre,århus
60-0 176/0593 Venstre,århus
60-0 173/0522 Venstre,århus
66-0 13/0952 Højre,århus
61-0 166/0932 Højre,århus
70-0 182/0681 Venstre,århus
407-0 9/0968 Venstre,århus
407-0 13/0140 Venstre,århus
72-5 3/0845 Venstre,århus
72-3 3/0219 Højre,århus
60-0 168/0464 Venstre,århus
60-0 170/0399 Venstre,århus
72-0 14/0987 Højre,århus
72-0 11/0607 Højre,århus
60-0 173/0040 Venstre,århus
61-0 167/0329 Venstre,århus
70-0 188/0795 Venstre,århus
72-0 0/0803 Højre,århus
70-0 183/0983 Højre,århus
60-0 171/0357 Højre,århus
61-0 168/0304 Højre,århus
72-0 3/0544 Venstre,århus
60-0 167/0295 Venstre,århus
72-0 13/0249 Højre,århus
61-5 169/0641 Venstre,århus
72-0 5/0168 Højre,århus
72-3 7/0790 Højre,århus
61-0 170/0778 Venstre,århus
66-0 11/0434 Venstre,århus
66-0 15/0592 Venstre,århus
60-0 169/0677 Venstre,århus
72-0 15/0680 Højre,århus
60-0 178/0095 Venstre,århus
60-0 171/0993 Venstre,århus
61-0 170/0103 Venstre,århus
61-0 173/0889 Højre,århus
72-0 10/0572 Højre,århus
72-0 11/0483 Højre,århus
72-0 7/0153 Højre,århus
72-0 13/0327 Venstre,århus
72-0 6/0491 Højre,århus
70-0 185/0608 Højre,århus
66-0 11/0561 Venstre,århus
66-0 12/0137 Venstre,århus
61-0 169/0311 Højre,århus
72-0 8/0272 Højre,århus
61-0 173/0837 Venstre,århus
61-0 169/0786 Venstre,århus
72-0 5/0247 Højre,århus
60-0 170/0281 Venstre,århus
60-0 174/0544 Venstre,århus
60-0 177/0017 Højre,århus
60-0 176/0975 Højre,århus
60-0 180/0560 Venstre,århus
61-0 173/0013 Højre,århus
40-0 178/0959 Venstre,Assens
40-0 181/0395 Venstre,Assens
40-0 179/0813 Venstre,Assens
40-0 185/0165 Venstre,Assens
40-0 175/0573 Venstre,Assens
40-0 177/0764 Venstre,Assens
40-0 183/0687 Højre,Assens
40-0 183/0707 Venstre,Assens
40-6 176/0294 Venstre,Assens
40-0 184/0693 Venstre,Assens
40-0 179/0404 Venstre,Assens
40-0 183/0567 Højre,Assens
40-0 182/0039 Venstre,Assens
40-0 174/0286 Venstre,Assens
40-0 184/0364 Venstre,Assens
40-0 185/0941 Venstre,Assens
12-0 14/0950 Venstre,Ballerup
4-6 6/0365 Højre,Ballerup
4-4 6/0094 Højre,Ballerup
522-0 21/0330 Venstre,Ballerup
4-4 6/0203 Venstre,Ballerup
363-0 26/0022 Venstre,Billund
3-8 54/0227 Midt,Brøndby
3-0 49/0574 Venstre,Brøndby
3-0 51/0101 Højre,Brøndby
3-1 54/0426 Højre,Brøndby
10-0 11/0358 Højre,Brøndby
10-0 12/0620 Højre,Brøndby
11-4 8/0557 Venstre,Brøndby
80-0 314/0460 Venstre,Brønderslev
90-0 21/0817 Venstre,Brønderslev
90-0 25/0775 Højre,Brønderslev
90-0 26/0668 Venstre,Brønderslev
90-0 27/0568 Højre,Brønderslev
80-0 310/0320 Højre,Brønderslev
80-0 328/0868 Højre,Brønderslev
80-0 310/0601 Højre,Brønderslev
80-0 319/0732 Venstre,Brønderslev
80-0 309/0269 Venstre,Brønderslev
90-0 18/0280 Venstre,Brønderslev
80-0 321/0901 Højre,Brønderslev
90-0 18/0498 Højre,Brønderslev
80-0 316/0001 Venstre,Brønderslev
80-0 318/0457 Venstre,Brønderslev
80-0 325/0244 Venstre,Brønderslev
80-0 324/0165 Højre,Brønderslev
80-0 328/0693 Venstre,Brønderslev
80-0 315/0817 Højre,Brønderslev
90-0 24/0847 Højre,Brønderslev
80-0 326/0419 Højre,Brønderslev
80-0 323/0752 Højre,Brønderslev
80-0 325/0994 Venstre,Brønderslev
80-0 311/0987 Højre,Brønderslev
90-0 19/0953 Højre,Brønderslev
80-0 322/0538 Højre,Brønderslev
522-0 30/0230 Venstre,Egedal
522-0 30/0260 Højre,Egedal
522-0 33/0150 Højre,Egedal
522-0 31/0540 Højre,Egedal
522-0 24/0771 Venstre,Egedal
135-0 26/0310 Venstre,Egedal
522-0 22/0000 Højre,Egedal
522-0 23/0271 Højre,Egedal
12-0 16/0000 Venstre,Egedal
522-0 30/0840 Højre,Egedal
522-0 23/0140 Venstre,Egedal
522-0 28/0710 Højre,Egedal
12-0 16/0400 Venstre,Egedal
135-0 26/0909 Højre,Egedal
135-0 24/0380 Venstre,Egedal
135-0 26/0910 Venstre,Egedal
135-0 26/0500 Venstre,Egedal
331-0 7/0430 Venstre,Esbjerg
52-0 284/0584 Højre,Esbjerg
52-0 276/0775 Venstre,Esbjerg
52-0 270/0126 Højre,Esbjerg
52-0 278/0564 Højre,Esbjerg
52-0 279/0528 Venstre,Esbjerg
52-0 280/0278 Højre,Esbjerg
52-0 289/0618 Højre,Esbjerg
332-0 39/0094 Højre,Esbjerg
52-0 273/0380 Højre,Esbjerg
52-0 272/0473 Højre,Esbjerg
52-0 275/0238 Højre,Esbjerg
52-0 271/0909 Højre,Esbjerg
52-0 267/0807 Venstre,Esbjerg
52-0 286/0611 Venstre,Esbjerg
327-0 2/0439 Højre,Esbjerg
327-0 2/0501 Højre,Esbjerg
332-7 41/0733 Højre,Esbjerg
52-0 275/0360 Venstre,Esbjerg
332-0 35/0458 Højre,Esbjerg
331-0 2/0834 Højre,Esbjerg
331-0 2/0113 Højre,Esbjerg
332-0 23/0040 Venstre,Esbjerg
332-7 39/0561 Højre,Esbjerg
327-0 1/0431 Venstre,Esbjerg
331-0 1/0613 Højre,Esbjerg
41-0 13/0906 Højre,Fåborg-Midtfyn
41-0 12/0342 Højre,Fåborg-Midtfyn
41-0 13/0060 Venstre,Fåborg-Midtfyn
41-0 25/0310 Venstre,Fåborg-Midtfyn
41-0 23/0725 Venstre,Fåborg-Midtfyn
41-0 18/0420 Højre,Fåborg-Midtfyn
41-0 17/0395 Venstre,Fåborg-Midtfyn
41-0 15/0331 Højre,Fåborg-Midtfyn
41-0 20/0354 Venstre,Fåborg-Midtfyn
521-0 29/0000 Venstre,Fåborg-Midtfyn
41-0 29/0614 Venstre,Fåborg-Midtfyn
704-0 24/0307 Venstre,Fåborg-Midtfyn
521-0 15/0769 Højre,Fåborg-Midtfyn
41-0 21/0467 Højre,Fåborg-Midtfyn
41-3 18/0340 Højre,Fåborg-Midtfyn
41-0 28/0400 Højre,Fåborg-Midtfyn
41-0 22/0592 Venstre,Fåborg-Midtfyn
41-6 20/0934 Venstre,Fåborg-Midtfyn
205-0 27/0020 Højre,Fåborg-Midtfyn
714-0 27/0346 Venstre,Fåborg-Midtfyn
704-0 23/1065 Venstre,Fåborg-Midtfyn
41-0 27/0360 Højre,Fåborg-Midtfyn
521-0 29/0525 Venstre,Fåborg-Midtfyn
41-0 27/0500 Højre,Fåborg-Midtfyn
41-0 21/0511 Højre,Fåborg-Midtfyn
521-0 9/0548 Højre,Fåborg-Midtfyn
521-0 10/0911 Højre,Fåborg-Midtfyn
521-0 13/0613 Venstre,Fåborg-Midtfyn
41-0 21/0409 Højre,Fåborg-Midtfyn
41-0 26/0064 Højre,Fåborg-Midtfyn
521-0 28/0616 Venstre,Fåborg-Midtfyn
521-0 9/0868 Højre,Fåborg-Midtfyn
714-0 25/0738 Højre,Fåborg-Midtfyn
714-0 26/0467 Venstre,Fåborg-Midtfyn
70-0 187/0334 Højre,Favrskov
70-0 195/0897 Venstre,Favrskov
70-0 197/0337 Højre,Favrskov
70-0 199/0806 Venstre,Favrskov
407-0 25/0226 Højre,Favrskov
407-0 25/0227 Venstre,Favrskov
407-0 25/0486 Venstre,Favrskov
407-0 24/0501 Højre,Favrskov
407-0 19/0661 Højre,Favrskov
407-0 25/0496 Højre,Favrskov
407-0 26/0844 Højre,Favrskov
60-0 181/0139 Højre,Favrskov
407-0 17/0580 Højre,Favrskov
70-0 184/0823 Venstre,Favrskov
407-0 21/0598 Højre,Favrskov
60-6 181/0968 Højre,Favrskov
70-0 193/0846 Højre,Favrskov
70-0 193/0060 Venstre,Favrskov
70-0 190/0929 Venstre,Favrskov
70-0 187/0548 Højre,Favrskov
60-7 182/0420 Højre,Favrskov
60-7 181/0738 Venstre,Favrskov
407-0 20/0598 Højre,Favrskov
30-0 58/0865 Venstre,Faxe
30-0 61/0960 Venstre,Faxe
30-0 63/0270 Venstre,Faxe
30-0 57/0900 Venstre,Faxe
30-0 55/0460 Venstre,Faxe
30-0 60/0200 Venstre,Faxe
30-0 63/0880 Venstre,Faxe
30-0 65/0470 Venstre,Faxe
30-0 65/0480 Højre,Faxe
30-0 66/0680 Venstre,Faxe
30-0 67/0590 Venstre,Faxe
30-0 68/0083 Venstre,Faxe
30-0 63/0907 Højre,Faxe
14-6 9/0420 Højre,Fredensborg
14-0 12/0875 Venstre,Fredensborg
14-0 13/0625 Venstre,Fredensborg
14-0 10/0960 Højre,Fredensborg
14-0 16/0666 Højre,Fredensborg
14-4 19/0075 Venstre,Fredensborg
14-0 14/0800 Venstre,Fredensborg
14-0 18/0559 Venstre,Fredensborg
60-5 89/0572 Højre,Fredericia
60-0 95/0114 Højre,Fredericia
60-0 95/0855 Venstre,Fredericia
60-1 88/0583 Venstre,Fredericia
60-0 90/0579 Højre,Fredericia
60-0 94/0197 Højre,Fredericia
40-3 210/0729 Højre,Fredericia
528-0 17/0362 Venstre,Fredericia
40-0 216/0560 Højre,Fredericia
40-0 209/0400 Venstre,Fredericia
60-0 92/0408 Venstre,Fredericia
60-0 93/0374 Venstre,Fredericia
40-0 213/0420 Højre,Fredericia
60-0 95/0294 Venstre,Fredericia
60-0 92/0345 Højre,Fredericia
528-0 18/0388 Venstre,Fredericia
50-1 96/0482 Venstre,Fredericia
528-0 17/0361 Højre,Fredericia
50-0 94/0061 Venstre,Fredericia
50-0 94/0846 Højre,Fredericia
50-0 95/0131 Venstre,Fredericia
50-0 95/0688 Højre,Fredericia
80-0 345/0059 Højre,Frederikshavn
80-0 339/0871 Højre,Frederikshavn
80-0 346/0998 Højre,Frederikshavn
80-0 340/0447 Venstre,Frederikshavn
80-0 342/0929 Venstre,Frederikshavn
80-0 332/0243 Venstre,Frederikshavn
80-0 338/0621 Højre,Frederikshavn
80-0 335/0786 Højre,Frederikshavn
80-0 334/0521 Højre,Frederikshavn
80-0 336/0369 Venstre,Frederikshavn
80-0 346/0114 Højre,Frederikshavn
80-0 338/0701 Højre,Frederikshavn
80-0 344/0305 Højre,Frederikshavn
80-0 330/0605 Venstre,Frederikshavn
80-0 331/0437 Højre,Frederikshavn
80-0 333/0160 Venstre,Frederikshavn
80-0 337/0653 Højre,Frederikshavn
80-0 341/0300 Venstre,Frederikshavn
522-0 36/0800 Venstre,Frederikssund
522-0 36/0027 Højre,Frederikssund
522-0 38/0209 Højre,Frederikssund
522-0 38/0040 Venstre,Frederikssund
522-0 36/0323 Højre,Frederikssund
143-0 1/0875 Venstre,Frederikssund
143-0 1/0970 Venstre,Frederikssund
143-0 5/0550 Venstre,Frederikssund
143-0 5/0337 Venstre,Frederikssund
143-0 7/0989 Venstre,Frederikssund
143-0 7/0927 Højre,Frederikssund
522-0 41/0861 Venstre,Frederikssund
143-0 7/0006 Venstre,Frederikssund
143-0 3/0420 Venstre,Frederikssund
522-0 38/0778 Venstre,Frederikssund
142-0 13/0800 Højre,Frederikssund
142-0 14/0140 Højre,Frederikssund
142-0 11/0100 Venstre,Frederikssund
142-0 7/0240 Venstre,Frederikssund
142-0 5/0571 Venstre,Frederikssund
522-0 41/0046 Venstre,Frederikssund
522-0 40/0851 Højre,Frederikssund
142-0 12/0200 Venstre,Frederikssund
142-0 4/0700 Venstre,Frederikssund
142-0 6/0300 Højre,Frederikssund
522-0 43/0300 Højre,Frederikssund
13-0 22/0469 Højre,Furesø
13-1 15/0560 Højre,Furesø
13-0 21/0700 Venstre,Furesø
13-0 20/0140 Venstre,Furesø
3-0 37/0256 Højre,Gentofte
13-0 8/0419 Venstre,Gladsaxe
3-0 40/0837 Venstre,Gladsaxe
3-0 39/0797 Højre,Gladsaxe
3-0 38/0416 Venstre,Gladsaxe
3-0 40/0938 Venstre,Gladsaxe
13-0 10/0900 Højre,Gladsaxe
3-0 42/0002 Højre,Gladsaxe
3-0 42/0811 Højre,Gladsaxe
3-0 41/0673 Højre,Gladsaxe
3-0 38/0911 Venstre,Gladsaxe
3-0 48/0740 Højre,Glostrup
12-6 11/0200 Venstre,Glostrup
12-1 10/0100 Venstre,Glostrup
12-3 9/0801 Højre,Glostrup
12-4 11/0600 Venstre,Glostrup
12-0 12/0000 Venstre,Glostrup
10-0 19/0100 Venstre,Greve
10-0 22/0580 Venstre,Greve
10-0 24/0713 Venstre,Greve
10-0 26/0625 Venstre,Greve
10-0 19/0620 Højre,Greve
10-0 22/0570 Højre,Greve
10-0 23/0609 Venstre,Greve
10-0 23/0910 Højre,Greve
10-0 27/0031 Venstre,Greve
10-0 20/0896 Højre,Greve
10-0 21/0316 Venstre,Greve
10-0 21/0200 Venstre,Greve
10-0 21/0782 Venstre,Greve
10-0 21/0097 Højre,Greve
10-0 24/0550 Venstre,Greve
30-0 116/0320 Venstre,Guldborgsund
30-0 123/0700 Højre,Guldborgsund
30-0 118/0010 Venstre,Guldborgsund
30-0 118/0760 Højre,Guldborgsund
30-0 123/0780 Højre,Guldborgsund
30-0 108/0303 Venstre,Guldborgsund
30-0 127/0430 Højre,Guldborgsund
30-0 122/0969 Højre,Guldborgsund
507-0 6/0540 Venstre,Guldborgsund
30-0 108/0313 Højre,Guldborgsund
30-0 113/0074 Højre,Guldborgsund
30-0 121/0500 Venstre,Guldborgsund
30-0 113/0743 Venstre,Guldborgsund
507-0 4/0000 Venstre,Guldborgsund
507-0 3/0900 Venstre,Guldborgsund
30-0 125/0780 Venstre,Guldborgsund
507-0 1/0574 Venstre,Guldborgsund
30-0 129/0800 Højre,Guldborgsund
30-0 110/0211 Højre,Guldborgsund
30-0 126/0391 Højre,Guldborgsund
30-0 120/0700 Venstre,Guldborgsund
507-0 2/0280 Højre,Guldborgsund
30-0 105/0480 Højre,Guldborgsund
30-0 116/0560 Højre,Guldborgsund
30-0 120/0440 Venstre,Guldborgsund
30-0 129/0680 Venstre,Guldborgsund
30-0 115/0830 Højre,Guldborgsund
30-0 110/0253 Venstre,Guldborgsund
30-0 121/0810 Venstre,Guldborgsund
30-0 131/0680 Venstre,Guldborgsund
507-3 5/0320 Højre,Guldborgsund
30-0 114/0726 Højre,Guldborgsund
30-0 111/0040 Højre,Guldborgsund
30-0 120/0100 Venstre,Guldborgsund
50-0 54/0749 Venstre,Haderslev
50-0 61/0204 Venstre,Haderslev
50-0 62/0496 Højre,Haderslev
50-0 51/0247 Venstre,Haderslev
50-0 53/0872 Højre,Haderslev
50-0 46/0103 Højre,Haderslev
50-0 40/0261 Venstre,Haderslev
50-0 47/0566 Højre,Haderslev
50-0 61/0543 Venstre,Haderslev
50-0 55/0910 Venstre,Haderslev
50-0 60/0076 Venstre,Haderslev
50-0 40/0714 Venstre,Haderslev
50-0 42/0320 Venstre,Haderslev
50-0 45/0700 Venstre,Haderslev
50-0 58/0366 Højre,Haderslev
50-0 47/0236 Højre,Haderslev
50-0 51/0749 Højre,Haderslev
50-0 49/0700 Højre,Haderslev
50-0 53/0166 Venstre,Haderslev
50-0 45/0087 Venstre,Haderslev
50-0 49/0324 Venstre,Haderslev
50-0 52/0689 Højre,Haderslev
50-0 47/0503 Venstre,Haderslev
50-0 42/0994 Venstre,Haderslev
106-0 16/0978 Højre,Halsnæs
600338-0 91/0686 Højre,Hedensted
600338-0 92/0099 Højre,Hedensted
60-0 129/0905 Højre,Hedensted
60-0 122/0416 Venstre,Hedensted
338-0 11/0866 Højre,Hedensted
64-3 13/0360 Højre,Hedensted
60-0 115/0103 Venstre,Hedensted
60-0 120/0505 Højre,Hedensted
60-0 123/0223 Venstre,Hedensted
64-0 7/0425 Venstre,Hedensted
600338-0 99/0766 Venstre,Hedensted
64-0 9/0977 Venstre,Hedensted
60-11 125/0540 Højre,Hedensted
600338-0 98/0653 Højre,Hedensted
600338-0 99/0785 Højre,Hedensted
60-0 128/0309 Venstre,Hedensted
64-0 9/0044 Højre,Hedensted
60-0 124/0146 Højre,Hedensted
64-0 11/0743 Højre,Hedensted
60-12 126/0450 Venstre,Hedensted
64-0 12/0460 Venstre,Hedensted
60-0 117/0954 Højre,Hedensted
64-0 11/0477 Højre,Hedensted
64-0 4/0267 Venstre,Hedensted
64-0 12/0360 Venstre,Hedensted
64-0 8/0011 Venstre,Hedensted
64-3 13/0445 Højre,Hedensted
64-0 5/0609 Venstre,Hedensted
64-7 12/0280 Højre,Hedensted
348-0 17/0700 Højre,Hedensted
600338-0 88/0634 Venstre,Hedensted
600338-0 87/0278 Højre,Hedensted
600338-0 93/0047 Højre,Hedensted
600338-0 96/0168 Højre,Hedensted
64-0 11/0684 Venstre,Hedensted
64-0 15/0092 Højre,Hedensted
600338-0 96/0880 Højre,Hedensted
60-0 121/0115 Højre,Hedensted
60-0 121/0164 Højre,Hedensted
60-0 115/0921 Venstre,Hedensted
600338-0 94/0614 Venstre,Hedensted
338-0 11/0744 Venstre,Hedensted
60-0 128/0771 Højre,Hedensted
60-0 126/0972 Højre,Hedensted
14-0 6/0565 Venstre,Helsingør
14-0 7/0294 Venstre,Helsingør
109-0 41/0170 Venstre,Helsingør
3-0 43/0097 Venstre,Herlev
3-0 43/0406 Højre,Herlev
64-0 62/0618 Højre,Herning
64-0 58/0658 Venstre,Herning
429-0 31/0605 Højre,Herning
429-0 27/0978 Venstre,Herning
66-0 76/0776 Venstre,Herning
66-0 78/0080 Venstre,Herning
66-0 79/0058 Højre,Herning
66-0 79/0855 Højre,Herning
66-0 81/0274 Højre,Herning
66-0 83/0214 Højre,Herning
68-0 45/0025 Venstre,Herning
68-0 45/0425 Venstre,Herning
370-0 22/0196 Venstre,Herning
429-0 23/0682 Højre,Herning
64-0 56/0139 Venstre,Herning
64-0 68/0162 Midt,Herning
64-0 73/0111 Højre,Herning
64-0 70/0516 Højre,Herning
64-3 76/0070 Højre,Herning
429-0 23/0705 Venstre,Herning
429-0 26/0342 Venstre,Herning
429-0 26/0377 Venstre,Herning
429-4 31/0577 Venstre,Herning
429-5 31/0523 Højre,Herning
429-0 26/0417 Venstre,Herning
429-0 29/0550 Venstre,Herning
68-0 47/0861 Venstre,Herning
370-0 2/0754 Venstre,Herning
429-0 9/0951 Højre,Herning
429-0 8/0956 Højre,Herning
68-0 46/0956 Venstre,Herning
429-0 10/0052 Venstre,Herning
64-6 66/0992 Venstre,Herning
64-0 60/0804 Venstre,Herning
68-0 32/0864 Højre,Herning
68-0 33/0034 Højre,Herning
68-5 37/0387 Højre,Herning
68-0 35/0223 Højre,Herning
68-0 35/0674 Venstre,Herning
68-0 34/0044 Højre,Herning
68-0 31/0325 Højre,Herning
68-5 37/0666 Højre,Herning
64-0 71/0668 Venstre,Herning
64-0 58/0674 Venstre,Herning
68-3 39/0928 Højre,Herning
64-0 53/0305 Højre,Herning
64-0 49/0762 Venstre,Herning
64-0 52/0445 Højre,Herning
429-0 19/0321 Venstre,Herning
429-0 9/0067 Højre,Herning
429-0 17/0015 Venstre,Herning
64-0 55/0037 Venstre,Herning
64-0 54/0443 Højre,Herning
64-0 62/0220 Højre,Herning
64-0 74/0023 Højre,Herning
64-0 53/0563 Højre,Herning
64-0 51/0287 Venstre,Herning
64-0 48/0744 Venstre,Herning
64-0 47/0172 Venstre,Herning
429-0 6/0960 Højre,Herning
68-0 43/0012 Venstre,Herning
429-0 6/0954 Venstre,Herning
68-0 40/0711 Højre,Herning
66-0 82/0174 Højre,Herning
429-0 8/0149 Højre,Herning
429-0 22/0959 Venstre,Herning
68-0 44/0227 Venstre,Herning
64-0 59/0400 Højre,Herning
64-0 66/0210 Venstre,Herning
64-6 64/0676 Venstre,Herning
64-0 66/0357 Venstre,Herning
64-0 65/0473 Højre,Herning
64-4 67/0646 Højre,Herning
68-0 38/0563 Højre,Herning
68-0 46/0020 Højre,Herning
404-0 39/0885 Højre,Herning
370-0 10/0500 Højre,Herning
64-0 58/0111 Højre,Herning
64-0 62/0211 Højre,Herning
64-0 57/0011 Højre,Herning
64-0 59/0377 Højre,Herning
64-0 58/0181 Højre,Herning
68-0 36/0261 Højre,Herning
68-6 37/0062 Højre,Herning
64-0 79/0497 Venstre,Herning
64-0 79/0585 Højre,Herning
64-0 87/0453 Højre,Herning
64-0 88/0958 Venstre,Herning
64-0 63/0415 Højre,Herning
64-5 75/0954 Venstre,Herning
64-0 74/0142 Højre,Herning
64-0 70/0034 Højre,Herning
64-5 63/0880 Højre,Herning
64-0 84/0341 Venstre,Herning
64-0 86/0663 Venstre,Herning
64-0 82/0827 Venstre,Herning
64-0 86/0531 Venstre,Herning
64-0 85/0646 Venstre,Herning
64-0 78/0327 Venstre,Herning
64-0 83/0605 Højre,Herning
64-0 81/0477 Venstre,Herning
64-0 83/0743 Venstre,Herning
64-0 80/0441 Højre,Herning
13-3 34/0686 Højre,Hillerød
104-0 2/0766 Venstre,Hillerød
104-0 2/0000 Højre,Hillerød
13-0 34/0479 Venstre,Hillerød
104-0 0/0689 Højre,Hillerød
13-6 34/0300 Venstre,Hillerød
13-6 38/0640 Venstre,Hillerød
141-0 10/0040 Venstre,Hillerød
141-0 9/0880 Højre,Hillerød
13-0 31/0265 Højre,Hillerød
13-0 32/0315 Venstre,Hillerød
13-3 32/0600 Højre,Hillerød
13-0 35/0800 Venstre,Hillerød
13-4 33/0115 Venstre,Hillerød
104-0 4/0043 Venstre,Hillerød
104-0 4/0040 Venstre,Hillerød
141-0 8/0680 Venstre,Hillerød
141-0 11/0540 Højre,Hillerød
106-1 6/0280 Højre,Hillerød
106-0 5/0540 Højre,Hillerød
13-5 38/0640 Venstre,Hillerød
90-0 51/0100 Venstre,Hjørring
90-0 38/0534 Højre,Hjørring
90-0 29/0660 Venstre,Hjørring
90-0 31/0595 Højre,Hjørring
90-0 31/0515 Venstre,Hjørring
90-0 32/0185 Venstre,Hjørring
90-0 36/0320 Højre,Hjørring
90-0 36/0228 Højre,Hjørring
90-0 40/0367 Højre,Hjørring
90-0 40/0285 Venstre,Hjørring
451-0 8/0900 Venstre,Hjørring
90-0 44/0909 Højre,Hjørring
90-0 51/0980 Venstre,Hjørring
90-0 56/0138 Venstre,Hjørring
90-0 37/0338 Højre,Hjørring
90-0 42/0937 Højre,Hjørring
90-0 57/0613 Højre,Hjørring
90-0 52/0790 Højre,Hjørring
90-0 45/0037 Venstre,Hjørring
